id,0.1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
A-paPhos,424.7851497317771,157.9184511532385,107.34636863218526,89.93117831213529,59.990779783578766,37.792428056814686,35.55026984223953,34.35460605817029,33.578475630509416,31.601806925875483,27.93486532352029,23.51194558855834,14.001815058505557,9.9530920495003,9.794444327273588,9.39427723685679,9.366681121201392,9.270829894732106,6.912264598107091,3.198315969751751,3.149314387925404,2.5320134275089927,0.0012018207909164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0203606550048479,-0.0750924577396739,-0.0801656379540977,-0.1296016955206104,-0.1325379425895611,-0.2227272323033912,-0.2541166448719565,-0.2798398190662142,-0.3081614210943095,-0.460032909639382,-0.4677152837756774,-0.5878108022257086,-0.5967919937290224,-0.6119346511522424,-0.7757700060568007,-0.8372505206533652,-1.0211088761884015,-1.0658911819826884,-1.0779481662993495
CX-FBu,663.913665132398,234.58652198084016,115.59978365814406,105.487276451006,87.41296704073356,76.84324210754735,71.5905982337958,60.92842068029128,55.88634419985843,38.33058131282379,34.24214416586086,33.339720965613154,32.60280798184014,31.1411726236959,30.114850656622107,26.272707229591745,24.48664804224176,21.5423023516297,13.950194472769851,13.406118647170285,12.082821169942154,11.985304946807853,11.94779986888957,11.710061675420286,9.048330742506582,8.754589097408541,8.54494846736998,7.374062396442523,7.218550225557235,6.976173771329321,5.418181786333044,2.561969454114744,1.4282799678847584,0.2359503425200917,0.0714197536665278,0.0528105489035969,0.0283146753628275,0.0,0.0,0.0,0.0,0.0,-0.0160848880500362,-0.054086137674148,-0.0726565503700133,-0.0818114071353535,-0.089066557437216,-0.1015083430025007,-0.1051307934021828,-0.1085737049267954,-0.1158300218938048,-0.1183239634980039,-0.134169830070567,-0.1507433568780454,-0.1663686923165153,-0.2168489464638048,-0.224724063431697,-0.2666185446320229,-0.3323721619585802,-0.35408436776716,-0.3667677961690252,-0.3822030484585871,-0.4006089569301729,-0.4468976662405708,-0.4684007224564843,-0.538772030425857,-0.5809840113816678,-0.5943991258948254,-0.6536993026094189,-0.6559211532744986,-0.7026076003699543,-0.7417129145828392,-0.7456282382522699,-0.946958421133084,-0.9618775599976768,-0.9627819809811692,-0.9820609579770838,-1.1224958152927793,-3.3396373668073207,-23.65619014745402
CX-PCy,439.9744142349687,159.5162075018641,102.50938333170622,87.945321149606,78.60597304446489,39.76949453612122,35.967879900829466,35.91212393603169,33.40346068647444,33.20357036103824,31.21099312759412,25.10433337164201,24.397185184662906,12.960976939816163,12.48001693627544,12.006344279568548,11.935210034121631,9.75040126263444,9.565140009708234,7.368176003623871,6.764641888479316,5.461235361152349,4.892780307696715,2.259165514118714,0.1440897489970866,0.0749249147319362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028672700177963,-0.0429918013342632,-0.067617311875185,-0.075295963377334,-0.0921217898389692,-0.1043992734060144,-0.1248594688178613,-0.1337815926956825,-0.1586446559984459,-0.1727410318431106,-0.2151778090230346,-0.2423199435878623,-0.2784704739752942,-0.3694823452483174,-0.3730545929178205,-0.4071593703826529,-0.4549518842004219,-0.4584119610325841,-0.559057392443444,-0.5968812610625907,-0.6249877963950712,-0.6473412142735087,-0.7288817096314514,-0.7411285811336019,-0.8535973674719282,-0.9577972268341068,-0.9664385615227996,-1.1252510556655633
Cy-BippyPhos,510.3997453780581,225.65551085958552,121.90345681972626,108.32393831159332,100.84973093539054,85.5774307972054,81.28893394897248,72.15074962663657,42.34818749949877,40.37047328524126,36.91644671084546,36.1133637030098,35.03224085171283,34.21026272157627,33.54396557448634,32.90895774564941,31.56189112725842,31.197712165519118,30.020330409030848,28.332344077974646,21.95350604729309,20.17974697027593,13.131482961320147,12.301780687157912,12.047009211456375,11.745193574988038,11.01127776760238,10.13920402896274,9.776061581664695,9.709508284407864,9.682948406633662,8.08909658685678,7.297511267498642,6.736813031765787,6.343921951113583,5.282191533437954,4.924402049509411,3.460813897338662,2.8571628508361497,1.827350582981569,1.048387255349838,0.130266484791797,0.0890649706539581,-0.0217168390436438,-0.050206618504424,-0.0650928032651469,-0.0808260785720458,-0.0954561440289367,-0.1002822984200713,-0.1043263218994692,-0.1224410130432388,-0.1386679942113651,-0.1496988653424507,-0.1635171257313494,-0.1801580022146339,-0.2308026655670115,-0.2520562343962721,-0.2641282803065415,-0.2832132967618746,-0.3210934468157385,-0.3634801536730335,-0.3676153159437535,-0.437352885787298,-0.4552142240387531,-0.472820525834229,-0.4944567291403188,-0.5121024087102712,-0.5923938196702168,-0.5978213797696589,-0.600194698505223,-0.6447475671551294,-0.6520947273207718,-0.7131638908572063,-0.7350507774423679,-0.7702797854490977,-0.9547082029150842,-0.961682098843476,-1.080900620729804,-1.1275244152876147,-1.1415638544606854
Cy-JohnPhos,440.3909418839153,158.1803803330482,101.2681090224763,88.1812712854134,80.27613950590869,41.02499470269751,36.74513009015162,35.42394398986512,34.5304869252816,33.94457958390658,31.19151996174834,31.089688129676272,25.665256170785565,13.144502767673352,12.315614727605547,12.106247712053191,11.81052964221498,11.121553881614611,9.924292903595616,9.252318588945013,7.352218274473278,7.119626722030445,6.75823264363,3.597453358666869,1.911727794446756,0.1295218036149212,0.0842486619408566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0274398191539955,-0.0352774590583448,-0.07014980372455,-0.0818550977701898,-0.0860637094234636,-0.1045856141415788,-0.1182745341483591,-0.1283266712228995,-0.1596437798344554,-0.166355412485527,-0.1918329030023396,-0.2288346698688089,-0.2762475377786493,-0.3388166202315708,-0.3740114990640156,-0.3793560083232741,-0.4306114090600964,-0.4548846509182641,-0.4816347401670153,-0.5622965848911449,-0.5957961431194347,-0.6271986400869621,-0.6575827347102466,-0.7237088226810436,-0.7380936499467877,-0.9573698063736946,-0.9623357100315446,-0.988212709860278,-1.1543038955156508
Cy-PhenCar-Phos,472.9849631121098,195.05791230252916,108.17138572683032,93.74084561185408,87.50860515739646,74.03116993616217,54.802582446745134,41.203936167392754,35.78205580541795,35.33773366966281,33.82757877996335,31.713191164867883,31.452537803139723,31.221652044814768,30.650641951768367,24.07417071532845,20.583452119688303,12.919452745944266,12.46076501697139,12.088423972937736,11.878494467862586,11.056448478898348,9.469102886828852,9.08677738834305,8.56915737398172,7.30485245438751,6.848387859881602,6.738064857285331,6.277994967664265,3.060294782967596,1.280248981394006,1.0419517733693513,0.1448264536840052,0.0761005551571488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0253714088682858,-0.0425392322801544,-0.0645360500296274,-0.0708802714315269,-0.0918321341266005,-0.1027519449699999,-0.1223000695143829,-0.1423537462610615,-0.1536901054835256,-0.1581977798760275,-0.1792925656277885,-0.2082490821176605,-0.2560345121037566,-0.3416592431310813,-0.3611711136287763,-0.3629490759506614,-0.3690458778095498,-0.4050991899659151,-0.4316053170586396,-0.4641298497724848,-0.5447810993053266,-0.5580776563897356,-0.58965768005971,-0.6306890945843299,-0.648108162752019,-0.7318397963989444,-0.7440566861218352,-0.956980644033417,-0.9590820759784908,-0.981863569118706,-1.09989580472814,-1.200269666582009
Cy-vBRIDP,448.2850226112099,172.6124153164712,106.29650822006889,87.87156393496551,85.40003023765614,55.5852619119653,37.95063286396308,36.45789532957235,35.096649419005765,34.0647296633175,32.83066637984273,31.990585615303864,31.56701273954704,30.20610357122266,19.420214509234512,13.4031743564149,12.827205882535406,12.163337622712175,12.057594726435337,10.14964359750346,9.917541656272684,9.51930840071902,9.074084525894358,6.803705446246324,6.6994017258950365,5.121417155117624,3.102943043950241,1.8639405970002287,0.1390656204257039,0.1164297067953333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0138555558571321,-0.0178285242087318,-0.0468824984435754,-0.0561510045878472,-0.083255673650286,-0.0912675875276333,-0.1089040564012498,-0.1097251878095872,-0.1141285799946617,-0.1388061294284277,-0.1637683832975877,-0.1685042029843881,-0.1857949497171582,-0.2256495995130029,-0.2713495927456636,-0.2916348998669528,-0.3464672085809205,-0.3515430106860204,-0.4382034899401369,-0.4606094375386879,-0.4734101588720497,-0.4975778053645693,-0.596054078640478,-0.6002739971500584,-0.637675654670841,-0.649848720767323,-0.7123887495830502,-0.7310766908466168,-0.8430652816860941,-0.957000102872982,-0.9659308988285208,-1.0717428163488218,-1.1599658297895008
Kwong,459.62366569087504,173.45645383356293,101.13309141209344,95.87059120088712,87.04853496928283,57.55998499734736,40.87929783579192,35.92550973185636,34.79108061599672,34.55063084235859,33.44250695402194,32.54755427885263,31.216414867233745,24.130002510368502,21.677710949583663,13.189531904383031,12.810853731137923,12.423185616378325,12.006851300856027,10.967431068984537,9.76266785822089,8.367752988088661,7.164584375806402,6.780122107099404,6.70722410378639,4.720245843954231,2.187737964988392,1.6883211387187782,0.1345400789874204,0.1240364364973911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0074013452872345,-0.0393684373244018,-0.0669822267544373,-0.0797652392665144,-0.0966114776223135,-0.1072568753953314,-0.1293805704681673,-0.1480721909863562,-0.1644948777707335,-0.1717467021996101,-0.2169849513324657,-0.2265127071531218,-0.2733993695049521,-0.3534621323465418,-0.366562250488511,-0.3898815913918391,-0.4223243412672823,-0.4584160359892288,-0.4647199289199982,-0.5437830164109028,-0.5910738267851713,-0.6308380655072993,-0.6442285200136062,-0.6484507137392364,-0.7198495764044868,-0.7358191455767356,-0.9592384818250724,-0.965651273163638,-1.104763890608124,-1.1467292170315004
MeO-KITPHOS,494.3666019949346,211.05244552484496,116.7284462356295,105.69133670949849,90.89990270768732,78.44226533175092,64.52195371662442,56.88523276192596,44.80813238633793,37.44644603632463,34.837385762264134,34.436721523811855,33.38734399814434,32.814479882816755,31.11695968952217,29.575237487819543,28.993903118300643,26.00049707283439,22.695314642383963,17.704447331726527,12.99261293804686,12.897017890727142,12.36863522456948,12.087719285499608,11.74614215135214,10.250147509465585,9.007747277139076,8.884087386047957,7.909498138570467,7.7913324352736275,7.336575667597675,7.242031609008708,6.736796618060891,4.935497835029356,2.775766744351812,2.0982626304587155,1.5291710056432697,0.1409907326759263,0.0724219043454172,0.0,0.0,0.0,0.0,-0.0311387158911398,-0.0354696566853746,-0.0446165518447057,-0.0602830758140638,-0.0686026191927197,-0.0849308442673436,-0.1060720461729417,-0.1082171598070089,-0.1288356443326369,-0.1448144741374198,-0.1506164427445692,-0.1598957145535643,-0.1729100265861657,-0.2013047952807549,-0.2674903157618958,-0.3475797480496118,-0.3529717161023005,-0.3580689284576613,-0.3690942302545306,-0.3724046196807951,-0.4092356627839935,-0.4439607594940696,-0.4555604429604057,-0.5365113924245556,-0.5533142804381536,-0.5662339950462547,-0.5698736727344051,-0.630899972622087,-0.6503463017243727,-0.7318857518208494,-0.738338754908458,-0.8260631841167843,-0.961528762593936,-0.9648260675335382,-1.0029030054018448,-1.062171461106315,-1.1432557614381231
MePhos,445.94789084204695,163.60634724915508,101.03582904333,87.59427629355989,81.28667319491328,43.73873865429227,40.2296489878132,36.72411757068865,35.16298577269076,33.36099381758007,31.43348288629629,30.82851362615541,26.763792810369072,20.61470069142631,13.240395856984147,12.278598208369225,11.984570471839818,11.876008517801043,10.814045531947842,9.499304400895769,8.441940610380115,7.33987990796583,7.021446798510765,6.765326575249734,3.3688126887231453,1.721611863803652,0.1520818483427121,0.0736122108367869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0235000094685454,-0.0333405196719618,-0.0508680478089672,-0.0549391835463422,-0.0705579210592701,-0.0922172690694921,-0.1009024659952494,-0.1060571914950728,-0.1275745178946301,-0.1466604976054909,-0.1590553617586357,-0.1611621410098431,-0.2118586992157468,-0.2591344161857596,-0.3150637677622638,-0.355812750457875,-0.3692240366840185,-0.383955412400811,-0.4317374211428511,-0.4642163173165323,-0.5425642673723114,-0.5650496505768855,-0.6364424019834765,-0.6547758689299048,-0.710609132353028,-0.7411990141029139,-0.7999320695122674,-0.9539700172683748,-0.9612139192076552,-0.986677397926604,-1.1378196149738826
